"When you go somewhere for the day, would you rather","If you were a teacher, would you rather teach",Are you usually,Do you more often let,"In doing something that many other people do, would you rather","Among your friends, are you",Does the idea of making a list of what you should get done over a weekend,"When you have a special job to do, do you like to",Do you tend to have,Do you admire more the people who are,Do you prefer to,Do you usually get along better with,"When you are with a group of people, would you usually rather",Is it a higher compliment to be called,"In reading for pleasure, do you",Do you,Does following a schedule,"When it is settled well in advance that you will do a certain thing at a certain time, do you find it",Are you moe successful,Would you rather be considered,"In a large group, do you more often",Do you usually,Would you rather have as a friend,Can the new people you meet tell what you are interested in,"In your daily work, do you",Do you usually,"Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)","Which word in each pair appeals to you more?(Think what the word means, not how they look or how they sound)"
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
